Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel Metering Sys Desc,Air Aspiration Method Desc,Trans Desc,Cyl Deact?,Var Valve Lift?
,6,26.21,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,N
6.2,8,21.8108,8,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
2.0,4,35.6914,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,36.7994,7,10.0,2,2,unknown,Turbocharged,Automated Manual,N,N
,8,18.9885,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,N,N
4.4,8,24.8105,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,36.8222,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
3.0,6,29.8142,8,15.0,2,2,Spark Ignition Direct Injection,Supercharged,Semi-Automatic,,N
5.2,12,22.8444,8,10.0,2,2,unknown,Turbocharged,XXXXX,Y,N
,8,21.3856,10,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
1.6,4,35.7385,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Manual,,N
,4,31.546,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
2.7,6,26.9673,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,N
4.0,8,27.0426,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,   ,N
2.0,4,29.6032,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged+Supercharged,XXXXX,N,N
,4,36.92,6,10.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,N,N
2.0,4,33.7023,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,4,36.0771,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,Y
,4,40.3735,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Manual,N,Y
4.0,8,21.8173,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,N,N
2.0,4,30.2774,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
3.6,6,24.1931,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
1.4,4,35.5238,6,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,XXXXX,   ,N
4.4,8,20.7274,8,10.0,2,2,unknown,Turbocharged,XXXXX,N,Y
3.5,6,24.4714,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
5.5,8,19.1822,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
3.0,6,28.9395,10,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,   ,N
3.0,6,29.927,6,10.0,2,2,unknown,Turbocharged,XXXXX,N,Y
1.5,4,35.7228,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Selectable Continuously Variable (e.g. CVT with paddles),N,N
,4,34.2607,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
,6,27.816,8,15.0,2,2,unknown,Naturally Aspirated,Semi-Automatic,N,N
2.0,4,30.1388,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,   ,Y
1.5,4,46.3319,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,,Y
,4,32.9548,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,Y
5.5,8,23.1471,7,10.0,2,2,unknown,Turbocharged,Automatic,N,N
2.5,4,37.4496,6,10.0,2,2,unknown,Naturally Aspirated,Manual,,N
3.6,6,29.8923,8,10.0,2,2,unknown,Naturally Aspirated,Automatic,   ,N
5.3,8,24.255,6,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
3.6,6,31.1873,8,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
5.5,8,23.9504,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,4,47.2992,1,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,,Y
,4,35.2988,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
3.0,6,33.4142,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
3.0,6,28.0391,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,N,N
3.6,6,20.656999999999996,8,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,N
2.0,4,32.7935,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
6.2,8,19.7548,6,10.0,1,1,unknown,Supercharged,Manual,N,N
1.4,4,37.529,6,10.0,2,2,unknown,Turbocharged,Manual,N,Y
,6,29.9106,9,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,Y
,8,22.0782,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.0,4,36.713,8,10.0,2,2,unknown,Turbocharged,XXXXX,N,Y
4.0,8,22.5368,8,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,Y,Y
2.0,4,37.1002,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,6,29.0284,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,N,N
5.3,8,24.1222,6,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
,6,22.7871,6,10.0,2,2,unknown,Naturally Aspirated,Manual,N,N
,6,34.9101,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,N,N
,8,24.566,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,N,N
1.0,3,40.3344,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,12,18.3272,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,N,Y
2.0,4,35.5376,8,10.0,2,2,unknown,Turbocharged,XXXXX,N,Y
5.7,8,23.1399,6,10.0,1,1,unknown,Naturally Aspirated,Manual,N,N
3.0,6,32.4228,8,10.0,2,2,unknown,Turbocharged,XXXXX,   ,Y
3.5,6,25.263,7,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,Automatic,N,N
,8,23.7248,10,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,XXXXX,N,N
2.0,4,32.0082,9,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
,4,31.8129,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Manual,N,Y
1.6,4,36.1741,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,,N
2.4,4,31.6705,9,10.0,2,2,unknown,Naturally Aspirated,Automatic,N,Y
,8,21.9776,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,N,N
2.0,4,31.125999999999998,9,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,   ,N
2.0,4,36.713,8,10.0,2,2,unknown,Turbocharged,XXXXX,   ,Y
2.0,4,29.861,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Semi-Automatic,,N
3.0,6,29.8689,8,15.0,2,2,Spark Ignition Direct Injection,Supercharged,XXXXX,   ,N
,6,23.9236,6,10.0,2,2,unknown,Naturally Aspirated,Manual,N,N
2.2,4,38.9253,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,   ,N
3.0,6,32.0454,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),   ,Y
3.5,6,17.258,7,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,XXXXX,   ,N
1.8,4,40.7121,6,10.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Manual,N,N
5.3,8,23.0686,6,10.0,1,1,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,Y,N
6.5,12,16.9418,7,10.0,2,2,unknown,Naturally Aspirated,Automated Manual,N,N
2.0,4,43.18600000000001,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Semi-Automatic,,N
,4,39.5901,6,10.0,2,2,unknown,Turbocharged,Automatic,N,Y
,6,25.1,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
3.6,6,23.7078,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
5.0,8,24.938000000000002,10,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,XXXXX,N,N
3.0,6,24.1704,8,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automatic,,N
5.0,8,19.3331,8,15.0,2,2,Spark Ignition Direct Injection,Supercharged,XXXXX,,N
,4,46.8427,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,   ,N
3.5,6,24.559,10,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,XXXXX,   ,N
,6,27.1795,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,Y
1.6,4,37.063,7,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,   ,N
2.0,4,36.713,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,N,Y
2.5,4,29.7393,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,Semi-Automatic,   ,N
2.4,4,33.2006,6,15.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,   ,N
,6,24.7122,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
,4,23.8601,6,10.0,2,2,Multipoint/sequential fuel injection,Turbocharged,Manual,N,N
1.5,3,43.2396,6,10.0,2,2,unknown,Turbocharged,Manual,N,Y
4.4,8,20.4771,7,10.0,2,2,unknown,Turbocharged,Automated Manual- Selectable (e.g. Automated Manual with paddles),N,Y
5.2,10,19.1967,7,15.0,2,2,unknown,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),Y,Y
